,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-6.661749877102364e-07,462561.1936879135,-1.440187799583766e-12,0.9999999999988509,-906603.2802748327,906603.2802735005
mean,0.0004874269183041821,0.053881551241950786,0.009046267359962052,0.9927822213851548,-0.10511847294706878,0.10609332678367714
std,-0.13022589313114893,0.17521170343852444,-0.7432488274211693,0.4573310467002578,-0.4736345215405696,0.21318273527827172
min,-0.035936113012107675,0.06439617755067881,-0.558047299994266,0.5768120855786394,-0.16215030175348488,0.09027807572926955
max,0.0311408554740226,0.06458530423290294,0.4821662736421378,0.6296878333105842,-0.09544401475302947,0.15772572570107465
len,-0.0003986322100654089,231.16501433677846,-1.7244487069511814e-06,0.9999986240890009,-453.0755012179811,453.07470395356097
bp_delta,-12.573774547722085,98.68739342821404,-0.12741013933931028,0.898615791611497,-205.9975113951564,180.84996229971225
bp_theta,60.664012529364555,72380.75037305753,0.0008381235648524815,0.9993312742258503,-141802.99989264747,141924.3279177062
bp_alpha,-3.3488941572709354,82691557.07111157,-4.049862254245635e-08,0.9999999676867743,-162072477.03381127,162072470.33602297
bp_beta,-0.39172574144209227,671537365.8547392,-5.833267981201611e-10,0.9999999995345725,-1316189051.7399125,1316189050.956461
